timestamp,chassis_no,status,error
2026-06-08 13:42:51,MAT500057T1D13352,SUCCESS,
2026-06-08 13:42:55,MAT503113TAD11531,SUCCESS,
2026-06-08 13:42:58,MAT503113TAD11535,SUCCESS,
2026-06-08 13:43:03,MAT558053TVD24930,SUCCESS,
2026-06-08 13:43:07,MAT558057TVB10350,SUCCESS,
2026-06-08 13:43:11,MAT563011M7C05715,SUCCESS,
2026-06-08 13:43:16,MAT563107T5A03582,SUCCESS,
2026-06-08 13:43:21,MAT565011S5B04935,FAILED,No ticket found for chassis MAT565011S5B04935
2026-06-08 13:44:37,MAT566136T1D12368,SUCCESS,
2026-06-08 13:44:42,MAT566235T1E14180,SUCCESS,
2026-06-08 13:44:44,MAT567105TAD12513,SUCCESS,
2026-06-08 13:44:46,MAT570101T1D11916,SUCCESS,
2026-06-08 13:44:49,MAT570101T1E14142,SUCCESS,
2026-06-08 13:44:51,MAT570101T1E14155,SUCCESS,
2026-06-08 13:44:54,MAT767255M5C04846,SUCCESS,
2026-06-08 13:44:56,MAT767510T7D11718,SUCCESS,
2026-06-08 13:44:58,MAT777306R1P34995,SUCCESS,
2026-06-08 13:45:00,MAT783066R1G20212,SUCCESS,
2026-06-08 13:45:01,MAT789073S5P23288,SUCCESS,
2026-06-08 13:45:03,MAT789073T5A01688,SUCCESS,
2026-06-08 13:45:04,MAT789073T5B04679,SUCCESS,
2026-06-08 13:45:07,MAT789073T5B04832,SUCCESS,
2026-06-08 13:45:09,MAT789073T5B04844,SUCCESS,
2026-06-08 13:45:11,MAT789073T5B04850,SUCCESS,
2026-06-08 13:45:13,MAT789073T5B04962,SUCCESS,
2026-06-08 13:45:15,MAT789073T5B04970,SUCCESS,
2026-06-08 13:45:18,MAT789073T5B04982,SUCCESS,
2026-06-08 13:45:21,MAT789073T5C08157,SUCCESS,
2026-06-08 13:45:23,MAT789073T5C08159,SUCCESS,
2026-06-08 13:45:26,MAT789073T5C08287,SUCCESS,
2026-06-08 13:45:29,MAT789073T5C08300,SUCCESS,
2026-06-08 13:45:34,MAT789073TMB00361,SUCCESS,
2026-06-08 13:45:37,MAT789073TMB00367,SUCCESS,
2026-06-08 13:45:40,MAT789073TMB00391,SUCCESS,
2026-06-08 13:45:43,MAT789073TMB00403,SUCCESS,
2026-06-08 13:45:46,MAT789073TMB00445,SUCCESS,
2026-06-08 13:45:49,MAT789073TMB00447,SUCCESS,
2026-06-08 13:45:52,MAT789073TMC00449,SUCCESS,
2026-06-08 13:45:56,MAT789073TMC00471,SUCCESS,
2026-06-08 13:45:58,MAT789073TMC00474,SUCCESS,
2026-06-08 13:46:01,MAT789073TMC00538,SUCCESS,
2026-06-08 13:46:03,MAT789073TMC00557,SUCCESS,
2026-06-08 13:46:06,MAT789073TMC00560,SUCCESS,
2026-06-08 13:46:09,MAT789073TMC00563,SUCCESS,
2026-06-08 13:46:13,MAT789073TMC00567,SUCCESS,
2026-06-08 13:46:18,MAT789073TMC00571,SUCCESS,
2026-06-08 13:46:21,MAT789073TMC00573,SUCCESS,
2026-06-08 13:46:23,MAT789073TMC00574,SUCCESS,
2026-06-08 13:46:27,MAT789073TMC00577,SUCCESS,
2026-06-08 13:46:30,MAT789073TMC00579,SUCCESS,
2026-06-08 13:46:33,MAT789073TMC00580,SUCCESS,
2026-06-08 13:46:36,MAT789073TMD00663,SUCCESS,
2026-06-08 13:46:40,MAT789073TMD00664,SUCCESS,
2026-06-08 13:46:43,MAT789073TMD00665,SUCCESS,
2026-06-08 13:46:46,MAT789073TMD00666,SUCCESS,
2026-06-08 13:47:00,MAT790005M1A01531,SUCCESS,
2026-06-08 13:47:55,MAT790005MAA01060,SUCCESS,
2026-06-08 13:48:17,MAT790205N7C06590,SUCCESS,
2026-06-08 13:48:54,MAT799010M1B03167,SUCCESS,
2026-06-08 13:48:57,MAT808020N3D12887,SUCCESS,
2026-06-08 13:49:03,MAT810002M5C03703,SUCCESS,
2026-06-08 13:49:06,MAT810026S8C06443,SUCCESS,
2026-06-08 13:49:09,MAT812023M5C04254,SUCCESS,
2026-06-08 13:49:11,MAT812023N5A01232,SUCCESS,
2026-06-08 13:49:14,MAT812025N5A00501,SUCCESS,
2026-06-08 13:49:16,MAT812028N5A00527,SUCCESS,
2026-06-08 13:49:19,MAT812028PAB02486,SUCCESS,
2026-06-08 13:49:21,MAT812067S5A02562,SUCCESS,
2026-06-08 13:49:24,MAT812077R5N18664,SUCCESS,
2026-06-08 13:49:27,MAT812089T5D11350,SUCCESS,
2026-06-08 13:49:31,MAT820003M1B05491,SUCCESS,
2026-06-08 13:49:34,MAT820006N1C08835,SUCCESS,
2026-06-08 13:49:37,MAT828025PAA01683,SUCCESS,
2026-06-08 13:49:40,MAT828113S2C04968,SUCCESS,
2026-06-08 13:49:43,MAT828126TAD10693,SUCCESS,
2026-06-08 13:49:46,MAT828126TAD10711,SUCCESS,
2026-06-08 13:49:48,MAT828126TAD10719,SUCCESS,
2026-06-08 13:49:51,MAT828126TAD10783,SUCCESS,
2026-06-08 13:49:53,MAT828126TAD10789,SUCCESS,
2026-06-08 13:49:56,MAT828126TAD10795,SUCCESS,
2026-06-08 13:49:58,MAT828126TAD11109,SUCCESS,
2026-06-08 13:50:01,MAT838001R1A01625,SUCCESS,
2026-06-08 13:50:04,MAT843007P5B03009,SUCCESS,
2026-06-08 13:50:06,MAT843015PAK13447,SUCCESS,
2026-06-08 13:50:10,MAT843201S7D07041,SUCCESS,
2026-06-08 13:50:13,MAT843204S7C05063,SUCCESS,
2026-06-08 13:50:17,MAT843207R7C04878,SUCCESS,
2026-06-08 13:50:20,MAT847020T5D11893,SUCCESS,
2026-06-08 14:25:19,MAT820003N1K30465,SUCCESS,
2026-06-08 14:49:27,MAT820003N1K30465,SUCCESS,
2026-06-08 14:57:10,MAT566013S1B06973,FAILED,No ticket found for chassis MAT566013S1B06973
2026-06-08 14:57:12,MAT805025T5C09577,SUCCESS,
2026-06-08 14:57:13,MAT566011P1D10749,SUCCESS,
2026-06-08 14:57:15,MAT791008S5J17933,SUCCESS,
2026-06-08 14:57:16,MAT555313T8C05746,SUCCESS,
2026-06-08 14:57:18,MAT793015P5K11940,SUCCESS,
2026-06-08 14:57:19,MAT566234T1D12472,SUCCESS,
2026-06-08 14:57:21,MAT566242T1C09327,SUCCESS,
2026-06-08 14:57:22,MAT566240T3C08527,SUCCESS,
2026-06-08 14:57:24,MAT566240T3C10050,SUCCESS,
2026-06-08 14:57:25,MAT566013S1F17418,SUCCESS,
2026-06-08 14:57:27,MAT847020T7D10115,SUCCESS,
2026-06-08 14:57:28,MAT555081T8A00488,SUCCESS,
2026-06-08 14:57:30,MAT843323T7E13592,SUCCESS,
2026-06-08 14:59:36,MAT466422E5D03374,FAILED,No ticket found for chassis MAT466422E5D03374
2026-06-08 14:59:40,MAT466422E5D03445,FAILED,No ticket found for chassis MAT466422E5D03445
2026-06-08 14:59:55,MAT500066T1E15106,SUCCESS,
2026-06-08 14:59:59,MAT541189K1E10862,FAILED,No ticket found for chassis MAT541189K1E10862
2026-06-08 15:00:01,MAT558057TVE29038,FAILED,"POST /api/crm/saveTicketStage failed (HTTP 500): {'message': 'Previous activity Stage 1 || FOTA / OTA Activities || GSM Network Availability must be completed first.', 'status': False}"
2026-06-08 15:00:05,MAT565011S5B04935,FAILED,No ticket found for chassis MAT565011S5B04935
2026-06-08 15:00:10,MAT566013P1D11945,SUCCESS,
2026-06-08 15:00:14,MAT566025R1C08301,FAILED,No ticket found for chassis MAT566025R1C08301
2026-06-08 15:00:16,MAT569059TAD12815,SUCCESS,
2026-06-08 15:00:19,MAT783067R1D11324,SUCCESS,
2026-06-08 15:00:22,MAT783067R1D11363,SUCCESS,
2026-06-08 15:00:25,MAT783067R1D11699,SUCCESS,
2026-06-08 15:00:27,MAT783067R1D11714,SUCCESS,
2026-06-08 15:00:32,MAT789060S5N22285,FAILED,No ticket found for chassis MAT789060S5N22285
2026-06-08 15:00:45,MAT789073T5B04658,SUCCESS,
2026-06-08 15:00:50,MAT789073T5C08166,FAILED,No ticket found for chassis MAT789073T5C08166
2026-06-08 15:00:58,MAT789073TMB00432,SUCCESS,
2026-06-08 15:01:01,MAT805023TFD05500,SUCCESS,
2026-06-08 15:01:04,MAT834052T2A02040,SUCCESS,
2026-06-08 15:01:08,MAT843323T7D11078,SUCCESS,
2026-06-08 15:18:15,MAT513060T5D10979,SUCCESS,
2026-06-08 15:18:19,MAT513060T5D11092,SUCCESS,
2026-06-08 15:18:22,MAT513060T5D11094,SUCCESS,
2026-06-08 15:18:26,MAT513060T5D11095,SUCCESS,
2026-06-08 15:18:45,MAT513060T5D11096,SUCCESS,
2026-06-08 15:19:01,MAT557109TUD02134,SUCCESS,
2026-06-08 15:19:03,MAT558005TVD19950,SUCCESS,
2026-06-08 15:19:05,MAT558005TVE26145,SUCCESS,
2026-06-08 15:19:07,MAT558018TVD25297,SUCCESS,
2026-06-08 15:20:12,MAT566144T1D11879,SUCCESS,
2026-06-08 15:20:15,MAT797075T1C10423,SUCCESS,
2026-06-08 15:20:18,MAT802301R2F10595,SUCCESS,
2026-06-08 15:20:22,MAT805025T5E12135,SUCCESS,
2026-06-08 15:20:26,MAT805025TFD05184,SUCCESS,
2026-06-08 15:20:44,MAT805025TFD05214,SUCCESS,
2026-06-08 15:20:59,MAT805025TFE06886,SUCCESS,
2026-06-08 15:21:03,MAT843318T7E13570,SUCCESS,
2026-06-08 16:04:19,MAT513356T5A00228,SUCCESS,
2026-06-08 16:04:21,MAT513356T5B03880,SUCCESS,
2026-06-08 16:04:24,MAT558010TVD23887,SUCCESS,
2026-06-08 16:04:26,MAT566144T1C10276,SUCCESS,
2026-06-08 16:04:27,MAT566144T1C10402,SUCCESS,
2026-06-08 16:04:30,MAT566227T1D11755,SUCCESS,
2026-06-08 16:04:32,MAT566234T1D11173,SUCCESS,
2026-06-08 16:04:33,MAT784059T5A02590,SUCCESS,
2026-06-08 16:04:35,MAT784202TFA00485,SUCCESS,
2026-06-08 16:04:37,MAT784202TFA00596,SUCCESS,
2026-06-08 16:04:38,MAT817007TFA00072,SUCCESS,
2026-06-08 16:08:22,MAT513061TFB02720,SUCCESS,
2026-06-08 16:08:25,MAT513061TFC03989,SUCCESS,
2026-06-08 16:08:28,MAT557076TUD02045,SUCCESS,
2026-06-08 16:08:30,MAT805023TFB02273,SUCCESS,
2026-06-08 16:08:32,MAT828126TAD10496,SUCCESS,
2026-06-08 17:05:32,MAT558010TVC13122,SUCCESS,
2026-06-08 17:05:36,MAT570101T1C10658,SUCCESS,
2026-06-08 17:27:03,MAT513061TFD05779,SUCCESS,
2026-06-08 17:27:08,MAT513061TFE06622,SUCCESS,
2026-06-08 17:27:12,MAT513354NFE03393,SUCCESS,
2026-06-08 17:27:15,MAT513354NFE03568,SUCCESS,
2026-06-08 17:27:17,MAT513354NFE03686,SUCCESS,
2026-06-08 17:27:20,MAT513354NFE04510,SUCCESS,
2026-06-08 17:27:22,MAT513354NFE04515,SUCCESS,
2026-06-08 17:27:24,MAT513354NFF04629,SUCCESS,
2026-06-08 17:27:26,MAT555083S8J18824,SUCCESS,
2026-06-08 17:27:29,MAT557056PUE02593,SUCCESS,
2026-06-08 17:27:31,MAT557072TUA00131,SUCCESS,
2026-06-08 17:27:33,MAT557072TUE03052,SUCCESS,
