timestamp,chassis_no,status,error
2026-06-07 01:42:54,MAT777306R1D09559,SUCCESS,
2026-06-07 01:42:56,MAT789073TMC00451,SUCCESS,
2026-06-07 01:42:58,MAT789073TMC00452,SUCCESS,
2026-06-07 01:43:00,MAT789073TMC00534,SUCCESS,
2026-06-07 01:43:02,MAT789073TMC00540,SUCCESS,
2026-06-07 01:43:03,MAT789073TMD00662,SUCCESS,
2026-06-07 01:43:05,MAT789073TMD00667,SUCCESS,
2026-06-07 01:43:07,MAT789087TMC00635,SUCCESS,
2026-06-07 01:43:08,MAT790026S7D06780,SUCCESS,
2026-06-07 01:43:10,MAT790207N1A02355,SUCCESS,
2026-06-07 01:43:12,MAT790207N1A02450,SUCCESS,
2026-06-07 01:43:14,MAT790208N2K20921,SUCCESS,
2026-06-07 01:43:15,MAT792042P8G10173,SUCCESS,
2026-06-07 01:43:19,MAT792103S8E08945,SUCCESS,
2026-06-07 01:43:21,MAT792107R8D05469,SUCCESS,
2026-06-07 01:43:23,MAT792108P8P22195,SUCCESS,
2026-06-07 01:43:24,MAT792181T7D11019,SUCCESS,
2026-06-07 01:43:26,MAT793016R1C06267,SUCCESS,
2026-06-07 01:43:28,MAT793018S1E15188,SUCCESS,
2026-06-07 01:43:29,MAT793055T5E12431,SUCCESS,
2026-06-07 01:43:31,MAT796002P5B01565,SUCCESS,
2026-06-07 01:43:32,MAT796002P5B01673,SUCCESS,
2026-06-07 01:43:34,MAT797075T1C10814,SUCCESS,
2026-06-07 01:43:35,MAT797080S2E09475,SUCCESS,
2026-06-07 01:43:38,MAT797083R1E14277,SUCCESS,
2026-06-07 01:43:39,MAT797083S5D07872,SUCCESS,
2026-06-07 01:43:41,MAT797305T2C08227,SUCCESS,
2026-06-07 01:43:42,MAT797308T5C07975,SUCCESS,
2026-06-07 01:43:44,MAT797312T1C07600,SUCCESS,
2026-06-07 01:43:45,MAT799012M1D11492,SUCCESS,
2026-06-07 01:43:46,MAT800129T8A01654,SUCCESS,
