timestamp,chassis_no,status,error
2026-06-15 09:31:31,MAT447298M3K22128,SUCCESS,
2026-06-15 09:31:35,MAT513062SFG08430,SUCCESS,
2026-06-15 09:31:38,MAT513355SFK10493,SUCCESS,
2026-06-15 09:31:41,MAT513357SFA00152,SUCCESS,
2026-06-15 09:31:43,MAT514016RFA01140,SUCCESS,
2026-06-15 09:31:46,MAT555063S8B02234,SUCCESS,
2026-06-15 09:31:47,MAT555313S7K20652,SUCCESS,
2026-06-15 09:31:50,MAT558010TVB10142,SUCCESS,
2026-06-15 09:31:52,MAT558010TVB11839,SUCCESS,
2026-06-15 09:31:54,MAT558010TVD22295,SUCCESS,
2026-06-15 09:31:56,MAT558010TVD23382,SUCCESS,
2026-06-15 09:31:59,MAT558053TVB07499,SUCCESS,
2026-06-15 09:32:01,MAT558053TVC18141,SUCCESS,
2026-06-15 09:32:04,MAT558053TVC19109,SUCCESS,
2026-06-15 09:32:06,MAT558053TVD21282,SUCCESS,
2026-06-15 09:32:09,MAT558053TVD21960,SUCCESS,
2026-06-15 09:33:11,MAT558053TVD23500,FAILED,[Errno 22] Invalid argument
2026-06-15 09:33:15,MAT558053TVD23656,SUCCESS,
2026-06-15 09:33:19,MAT558053TVD24235,SUCCESS,
2026-06-15 09:33:22,MAT558053TVD24875,SUCCESS,
2026-06-15 09:33:24,MAT558053TVD24878,SUCCESS,
2026-06-15 09:33:26,MAT558053TVD25170,SUCCESS,
2026-06-15 09:33:29,MAT558056TVD21738,SUCCESS,
2026-06-15 09:33:33,MAT558056TVE31000,SUCCESS,
2026-06-15 09:33:36,MAT558057TVA04128,SUCCESS,
2026-06-15 09:33:37,MAT558057TVC14840,SUCCESS,
2026-06-15 09:33:39,MAT558057TVC15726,SUCCESS,
2026-06-15 09:33:40,MAT558057TVC16048,SUCCESS,
2026-06-15 09:33:42,MAT558057TVC16112,SUCCESS,
2026-06-15 09:33:43,MAT558057TVD20687,SUCCESS,
2026-06-15 09:33:45,MAT558057TVE26113,SUCCESS,
2026-06-15 09:33:46,MAT558057TVE28674,SUCCESS,
2026-06-15 09:33:49,MAT558057TVE31199,SUCCESS,
2026-06-15 09:33:53,MAT563010N7A02225,SUCCESS,
2026-06-15 09:33:54,MAT563010N7D09353,SUCCESS,
2026-06-15 09:33:57,MAT563016N5B04634,SUCCESS,
2026-06-15 09:33:59,MAT563249S7P25950,SUCCESS,
2026-06-15 09:34:03,MAT566023R1A02862,SUCCESS,
2026-06-15 09:34:07,MAT566025S1D14017,SUCCESS,
2026-06-15 09:34:10,MAT566229S1P33823,SUCCESS,
2026-06-15 09:34:13,MAT566235T1D11704,SUCCESS,
2026-06-15 09:34:16,MAT783008N1D12909,SUCCESS,
2026-06-15 09:34:19,MAT784059R5B03024,SUCCESS,
2026-06-15 09:34:22,MAT784059T5D10247,SUCCESS,
2026-06-15 09:34:25,MAT785056T7B06134,SUCCESS,
2026-06-15 09:34:28,MAT785076T7E14066,SUCCESS,
2026-06-15 09:34:29,MAT790207N7C07619,SUCCESS,
2026-06-15 09:34:32,MAT792103R8E09163,SUCCESS,
2026-06-15 09:34:35,MAT793020R1D10564,SUCCESS,
2026-06-15 09:34:37,MAT797308T5D09954,SUCCESS,
2026-06-15 09:34:40,MAT797308T5D10047,SUCCESS,
