timestamp,chassis_no,status,error
2026-06-29 09:38:25,MAT558053TVD24653,SUCCESS,
2026-06-29 09:38:28,MAT805023TFD06367,SUCCESS,
2026-06-29 09:39:31,MAT837018T1C09309,SUCCESS,
2026-06-29 09:39:34,MAT843204P7P26556,SUCCESS,
2026-06-29 09:44:08,MAT783018M3A02658,SUCCESS,
2026-06-29 09:44:11,MAT828022M2D05083,SUCCESS,
2026-06-29 09:44:14,MAT828022M3D11030,SUCCESS,
2026-06-29 09:44:17,MAT832205T1D11902,SUCCESS,
2026-06-29 09:44:26,MAT558001MVN57720,SUCCESS,
2026-06-29 09:44:29,MAT767257M5B02175,SUCCESS,
2026-06-29 09:45:26,MAT558001MVN58697,SUCCESS,
2026-06-29 09:45:29,MAT563010N7G18455,SUCCESS,
2026-06-29 09:45:33,MAT828017N2D08722,SUCCESS,
2026-06-29 09:45:36,MAT843234T5B04820,SUCCESS,
2026-06-29 09:46:51,MAT820003M1C08705,SUCCESS,
2026-06-29 09:49:04,MAT513062TFE06568,SUCCESS,
2026-06-29 09:49:07,MAT513062TFE06569,SUCCESS,
2026-06-29 09:49:08,MAT513062TFE06589,SUCCESS,
2026-06-29 09:49:10,MAT513062TFE06591,SUCCESS,
2026-06-29 09:49:12,MAT555064S8B03160,SUCCESS,
2026-06-29 09:49:17,MAT555064S8D06750,SUCCESS,
2026-06-29 09:49:19,MAT558005SVN35601,SUCCESS,
2026-06-29 09:49:21,MAT558005TVD20626,SUCCESS,
2026-06-29 09:49:22,MAT558005TVE25637,SUCCESS,
2026-06-29 09:49:24,MAT566235T1E14429,SUCCESS,
2026-06-29 09:49:26,MAT570101T1D12567,SUCCESS,
2026-06-29 09:49:29,MAT793015R5D07383,SUCCESS,
2026-06-29 09:49:32,MAT793015R5D07386,SUCCESS,
2026-06-29 09:49:35,MAT828045R1F17057,SUCCESS,
2026-06-29 09:49:37,MAT828048R2F10879,SUCCESS,
2026-06-29 09:49:41,MAT828126T2E13485,SUCCESS,
2026-06-29 09:49:43,MAT837018T1D11347,SUCCESS,
2026-06-29 09:57:46,MAT558005RVA05335,SUCCESS,
2026-06-29 09:57:49,MAT566234T1E14819,SUCCESS,
