timestamp,chassis_no,status,error
2026-06-20 09:26:58,MAT494163T5D10856,SUCCESS,
2026-06-20 09:27:00,MAT494163T5D10857,SUCCESS,
2026-06-20 09:27:03,MAT494163T5D10858,SUCCESS,
2026-06-20 09:27:06,MAT494163T5D10973,SUCCESS,
2026-06-20 09:27:07,MAT494163T5D10974,SUCCESS,
2026-06-20 09:27:10,MAT503302S2C04376,SUCCESS,
2026-06-20 09:27:12,MAT503302S2C04377,SUCCESS,
2026-06-20 09:27:14,MAT513061TFE07626,SUCCESS,
2026-06-20 09:27:16,MAT555013P8H13056,SUCCESS,
2026-06-20 09:27:18,MAT555035R8G11825,SUCCESS,
2026-06-20 09:27:20,MAT555312T8D08714,SUCCESS,
2026-06-20 09:27:22,MAT557052TUE03159,SUCCESS,
2026-06-20 09:27:24,MAT558005RVB05517,SUCCESS,
2026-06-20 09:27:26,MAT558017TVB07206,SUCCESS,
2026-06-20 09:27:28,MAT558017TVD22010,SUCCESS,
2026-06-20 09:27:32,MAT558017TVD23671,SUCCESS,
2026-06-20 09:27:36,MAT558017TVD23915,SUCCESS,
2026-06-20 09:27:40,MAT558017TVE28430,SUCCESS,
2026-06-20 09:27:42,MAT558053SVD13367,SUCCESS,
2026-06-20 09:27:43,MAT558053TVD19388,SUCCESS,
2026-06-20 09:27:45,MAT558053TVD24637,SUCCESS,
2026-06-20 09:27:47,MAT558053TVE28959,SUCCESS,
2026-06-20 09:27:50,MAT558053TVE28967,SUCCESS,
2026-06-20 09:27:53,MAT558053TVE29306,SUCCESS,
2026-06-20 09:27:57,MAT563010M7A00821,SUCCESS,
2026-06-20 09:27:59,MAT563017N5D07187,SUCCESS,
2026-06-20 09:28:02,MAT563060N5B04222,SUCCESS,
2026-06-20 09:28:06,MAT563083R5C05274,SUCCESS,
2026-06-20 09:28:09,MAT566011P1E13455,SUCCESS,
2026-06-20 09:28:11,MAT566011P3E14516,SUCCESS,
2026-06-20 09:28:12,MAT566011P3E14517,SUCCESS,
2026-06-20 09:28:14,MAT777013N3B05873,SUCCESS,
2026-06-20 09:28:18,MAT783067R1D11511,SUCCESS,
2026-06-20 09:28:22,MAT783073S1C09447,SUCCESS,
2026-06-20 09:28:24,MAT784062TFC04464,SUCCESS,
2026-06-20 09:28:26,MAT785005N7E11170,SUCCESS,
2026-06-20 09:28:29,MAT785075T7E13949,SUCCESS,
2026-06-20 09:28:32,MAT786051S8E10494,SUCCESS,
2026-06-20 09:28:34,MAT786051S8E10597,SUCCESS,
2026-06-20 09:28:37,MAT788026M7D08702,SUCCESS,
2026-06-20 09:28:41,MAT791207S5C07347,SUCCESS,
2026-06-20 09:28:44,MAT793002N1D13069,SUCCESS,
2026-06-20 09:28:47,MAT794002N5C05507,SUCCESS,
2026-06-20 09:28:49,MAT794002N7E11009,SUCCESS,
2026-06-20 09:28:53,MAT794002N7F14246,SUCCESS,
2026-06-20 09:28:56,MAT802314T2E13873,SUCCESS,
2026-06-20 09:28:58,MAT804062T8E10834,SUCCESS,
2026-06-20 09:29:00,MAT805018T5E12307,SUCCESS,
2026-06-20 09:29:03,MAT805018T5E13277,SUCCESS,
2026-06-20 09:29:06,MAT805023TFD06357,SUCCESS,
2026-06-20 09:29:08,MAT812023M5C04536,SUCCESS,
2026-06-20 09:29:12,MAT812025M5C04259,SUCCESS,
2026-06-20 09:29:16,MAT812025NAG07569,SUCCESS,
2026-06-20 09:29:19,MAT812025NAH09251,SUCCESS,
2026-06-20 09:29:23,MAT812067S5A02233,SUCCESS,
2026-06-20 09:29:45,MAT820003N1D11826,SUCCESS,
2026-06-20 09:29:49,MAT820003N1D11834,SUCCESS,
2026-06-20 09:29:53,MAT820006M1C07144,SUCCESS,
2026-06-20 09:29:55,MAT825007T5C09469,SUCCESS,
2026-06-20 09:29:59,MAT828021M3D11013,SUCCESS,
2026-06-20 09:30:03,MAT828022M2K16607,SUCCESS,
2026-06-20 09:30:06,MAT828048P2D10957,SUCCESS,
2026-06-20 09:30:09,MAT828048RAD05916,SUCCESS,
2026-06-20 09:30:12,MAT828053PAE05760,SUCCESS,
2026-06-20 09:30:15,MAT828128T2C09761,SUCCESS,
2026-06-20 09:30:17,MAT828128T2C09762,SUCCESS,
